Rk,Pos,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,Pos,90s,CrdY,CrdR,2CrdY,Fls,Off,Crs,Int,TklW,PKcon,OG,Recov,Won,Lost,Won%
1,DF,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,1,DF,13.7,1,0,0,12,2,13,8,19,1,0,75,5,11,31.3
3,MF,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,3,MF,1.1,0,0,0,6,0,0,0,2,0,0,5,3,0,100.0
5,DF,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,5,DF,30.9,5,0,0,26,0,3,39,35,0,1,149,61,37,62.2
6,MF,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,6,MF,16.9,2,0,0,34,0,3,12,14,3,0,89,2,7,22.2
7,DF,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,7,DF,2.0,0,0,0,1,0,0,0,0,0,0,10,4,6,40.0
8,MF,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,8,MF,31.8,4,0,0,36,1,34,61,52,0,0,226,15,14,51.7
10,DF,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,10,DF,15.6,3,0,0,16,2,26,15,19,1,0,79,14,10,58.3
12,DF,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,12,DF,25.7,10,0,0,33,1,2,23,19,2,1,109,39,36,52.0
14,DF,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,14,DF,26.5,1,0,0,19,3,9,32,13,0,0,102,70,37,65.4
15,DF,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0,15,DF,0.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
16,DF,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0,16,DF,14.4,7,0,0,18,1,82,4,21,0,0,99,13,11,54.2
18,MF,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,18,MF,1.3,0,0,0,0,0,1,4,3,0,0,7,2,3,40.0
21,DF,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,21,DF,18.0,2,0,0,10,0,1,25,11,0,0,43,56,28,66.7
25,DF,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1,25,DF,13.8,2,0,0,10,2,2,18,9,0,0,60,30,22,57.7
27,MF,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1,27,MF,15.6,3,0,0,26,1,50,20,17,1,0,94,15,10,60.0
30,MF,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,30,MF,24.8,8,0,0,37,0,12,12,20,0,0,135,11,16,40.7
31,DF,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1,31,DF,28.8,1,0,0,31,2,6,55,41,3,0,217,45,32,58.4
33,MF,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,MF,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
34,MF,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0,34,MF,8.6,3,0,0,19,0,2,7,18,0,0,48,9,7,56.3
35,"DF,MF",17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0,35,"DF,MF",17.9,2,0,0,15,2,46,13,29,0,0,71,15,24,38.5
36,DF,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,36,DF,20.6,3,1,1,10,0,5,17,14,1,0,102,48,32,60.0
37,DF,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0,37,DF,21.4,3,0,0,20,3,75,26,31,1,0,106,24,23,51.1
40,DF,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,34,98,137,2,40,DF,29.4,11,1,1,34,2,6,34,36,0,0,106,52,36,59.1
41,DF,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0,41,DF,4.5,0,0,0,4,0,0,4,3,0,0,22,14,9,60.9
42,DF,18.8,47,31,31,12,4,29,40,72.5,11,19,3,16,18,65,51,1,42,DF,18.8,3,0,0,18,2,28,18,31,1,0,97,17,12,58.6
43,"DF,MF",25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0,43,"DF,MF",25.9,7,0,0,25,8,41,15,44,1,0,136,21,25,45.7
45,DF,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,45,DF,20.4,5,0,0,25,1,22,25,21,0,0,60,63,23,73.3
