Player Name,Rating,League,Season
"1Bukayo SakaArsenal, 23, D(L),M(CLR)",7.67,Premier League,2023-2024
"2RodriMan City, 28, D(C),DMC",7.62,Premier League,2023-2024
"3Michael OliseCrystal Palace, 23, AM(CLR)",7.61,Premier League,2023-2024
"4Kevin De BruyneMan City, 33, M(CLR),FW",7.6,Premier League,2023-2024
"5Phil FodenMan City, 24, AM(CLR),FW",7.55,Premier League,2023-2024
"6Cole PalmerChelsea, 22, AM(CR),FW",7.48,Premier League,2023-2024
"7Eberechi EzeCrystal Palace, 26, AM(CLR)",7.45,Premier League,2023-2024
"8Solly MarchBrighton, 30, M(CLR)",7.43,Premier League,2023-2024
"9Erling HaalandMan City, 24, FW",7.4,Premier League,2023-2024
"10Bruno FernandesMan Utd, 30, M(CLR),FW",7.39,Premier League,2023-2024
"11Declan RiceArsenal, 26, D(C),DMC",7.38,Premier League,2023-2024
"12Bruno GuimarãesNewcastle, 27, DMC",7.37,Premier League,2023-2024
"13Martin ØdegaardArsenal, 26, AM(CR)",7.37,Premier League,2023-2024
"14Arijanet MuricBurnley, 26, GK",7.34,Premier League,2023-2024
"15Son Heung-MinTottenham, 32, M(CLR),FW",7.3,Premier League,2023-2024
"16Anthony GordonNewcastle, 23, AM(CLR),FW",7.29,Premier League,2023-2024
"17Ollie WatkinsAston Villa, 29, AM(LR),FW",7.27,Premier League,2023-2024
"18Jérémy DokuMan City, 22, M(LR)",7.24,Premier League,2023-2024
"19Mohamed SalahLiverpool, 32, AM(CLR),FW",7.24,Premier League,2023-2024
"20Mohammed KudusWest Ham, 24, M(CLR),FW",7.23,Premier League,2023-2024
"21Daniel MuñozCrystal Palace, 28, D(CR),DMC,M(R)",7.17,Premier League,2023-2024
"22James MaddisonTottenham, 28, AM(CLR)",7.17,Premier League,2023-2024
"23Kai HavertzArsenal, 25, M(CR),FW",7.16,Premier League,2023-2024
"24Bernardo SilvaMan City, 30, M(CLR),FW",7.15,Premier League,2023-2024
"25Virgil van DijkLiverpool, 33, D(C)",7.15,Premier League,2023-2024
"26Alexander IsakNewcastle, 25, AM(L),FW",7.14,Premier League,2023-2024
"27Conor BradleyLiverpool, 21, D(R),M(R)",7.13,Premier League,2023-2024
"28Pascal GroßBrighton, 33, D(LR),M(CR),FW",7.13,Premier League,2023-2024
"29Conor GallagherChelsea, 25, M(CL)",7.13,Premier League,2023-2024
"30Matheus CunhaWolves, 25, AM(CL),FW",7.13,Premier League,2023-2024
"31Andy RobertsonLiverpool, 30, D(L),M(L)",7.12,Premier League,2023-2024
"32Trent Alexander-ArnoldLiverpool, 26, D(R),DMC,M(R)",7.12,Premier League,2023-2024
"33Julián AlvarezMan City, 25, AM(CLR),FW",7.1,Premier League,2023-2024
"34Jarrod BowenWest Ham, 28, AM(CLR),FW",7.1,Premier League,2023-2024
"35Diogo JotaLiverpool, 28, AM(CLR),FW",7.09,Premier League,2023-2024
"36Alexis Mac AllisterLiverpool, 26, M(CL),FW",7.09,Premier League,2023-2024
"37Luis DíazLiverpool, 28, AM(LR),FW",7.09,Premier League,2023-2024
"38James TarkowskiEverton, 32, D(C)",7.08,Premier League,2023-2024
"39Nicolas JacksonChelsea, 23, FW",7.07,Premier League,2023-2024
"40Kieran TrippierNewcastle, 34, D(LR),M(R)",7.07,Premier League,2023-2024
"41Thomas StrakoshaBrentford, 29, GK",7.05,Premier League,2023-2024
"42Manor SolomonTottenham, 25, AM(CLR)",7.05,Premier League,2023-2024
"43Ross BarkleyLuton, 31, M(CLR)",7.05,Premier League,2023-2024
"44Lucas PaquetáWest Ham, 27, M(CLR),FW",7.04,Premier League,2023-2024
"45Pedro PorroTottenham, 25, D(R),M(R)",7.04,Premier League,2023-2024
"46João PalhinhaFulham, 29, DMC",7.04,Premier League,2023-2024
"47Dominic SolankeBournemouth, 27, FW",7.03,Premier League,2023-2024
"48Josko GvardiolMan City, 23, D(CL)",7.03,Premier League,2023-2024
"49Cristian RomeroTottenham, 26, D(C)",7.03,Premier League,2023-2024
"50Bryan MbeumoBrentford, 25, AM(LR),FW",7.02,Premier League,2023-2024
"51Morgan Gibbs-WhiteNottingham Forest, 25, AM(CLR),FW",7.0,Premier League,2023-2024
"52James Ward-ProwseWest Ham, 30, M(CR)",6.99,Premier League,2023-2024
"53Jacob MurphyNewcastle, 29, D(R),M(LR)",6.99,Premier League,2023-2024
"54Gabriel MagalhãesArsenal, 27, D(C)",6.99,Premier League,2023-2024
"55Pedro NetoWolves, 24, AM(CLR),FW",6.99,Premier League,2023-2024
"56John McGinnAston Villa, 30, M(CLR)",6.98,Premier League,2023-2024
"57Dwight McNeilEverton, 25, M(CLR)",6.97,Premier League,2023-2024
"58CasemiroMan Utd, 32, D(C),DMC",6.97,Premier League,2023-2024
"59Leon BaileyAston Villa, 27, M(CLR),FW",6.96,Premier League,2023-2024
"60Dejan KulusevskiTottenham, 24, AM(CR),FW",6.96,Premier League,2023-2024
"61Alphonse AreolaWest Ham, 31, GK",6.96,Premier League,2023-2024
"62Diogo DalotMan Utd, 25, D(LR),M(LR)",6.96,Premier League,2023-2024
"63Douglas LuizAston Villa, 26, M(C)",6.95,Premier League,2023-2024
"64Aleksandar MitrovicFulham, 30, FW",6.95,Premier League,2023-2024
"65Willy-Arnaud BolyNottingham Forest, 34, D(C)",6.94,Premier League,2023-2024
"66Dan BurnNewcastle, 32, D(CL),M(L)",6.94,Premier League,2023-2024
"67João PedroBrighton, 23, AM(CL),FW",6.93,Premier League,2023-2024
"68Ben WhiteArsenal, 27, D(CR),DMC",6.93,Premier League,2023-2024
"69Adam WhartonCrystal Palace, 21, DMC",6.93,Premier League,2023-2024
"70Antonee RobinsonFulham, 27, D(L),M(L)",6.92,Premier League,2023-2024
"71Jarrad BranthwaiteEverton, 22, D(C)",6.9,Premier League,2023-2024
"72Gabriel JesusArsenal, 27, AM(LR),FW",6.89,Premier League,2023-2024
"73Gabriel MartinelliArsenal, 23, AM(LR),FW",6.89,Premier League,2023-2024
"74Ryan ChristieBournemouth, 29, M(CLR),FW",6.89,Premier League,2023-2024
"75Ivan ToneyBrentford, 28, FW",6.89,Premier League,2023-2024
"76Darwin NúñezLiverpool, 25, AM(CL),FW",6.89,Premier League,2023-2024
"77Tomás SoucekWest Ham, 29, M(C)",6.88,Premier League,2023-2024
"78Kaoru MitomaBrighton, 27, M(L)",6.88,Premier League,2023-2024
"79Ethan PinnockBrentford, 31, D(C)",6.88,Premier League,2023-2024
"80Jean-Philippe MatetaCrystal Palace, 27, FW",6.88,Premier League,2023-2024
"81Antoine SemenyoBournemouth, 25, AM(LR),FW",6.88,Premier League,2023-2024
"82Joachim AndersenCrystal Palace, 28, D(C)",6.88,Premier League,2023-2024
"83Yoane WissaBrentford, 28, AM(L),FW",6.87,Premier League,2023-2024
"84Cody GakpoLiverpool, 25, AM(CLR),FW",6.87,Premier League,2023-2024
"85Harry MaguireMan Utd, 31, D(C)",6.87,Premier League,2023-2024
"86Cheick DoucouréCrystal Palace, 25, DMC",6.87,Premier League,2023-2024
"87Marcus TavernierBournemouth, 25, M(CLR)",6.86,Premier League,2023-2024
"88Simon AdingraBrighton, 23, M(LR),FW",6.86,Premier League,2023-2024
"89Mario LeminaWolves, 31, D(C),M(C)",6.85,Premier League,2023-2024
"90Sergio ReguilónBrentford, 28, D(L),M(L)",6.85,Premier League,2023-2024
"91Moisés CaicedoChelsea, 23, D(R),DMC",6.85,Premier League,2023-2024
