"1Harry KaneBayern, 31, AM(C),FW",7.82
"2Serhou GuirassyStuttgart, 28, AM(L),FW",7.73
"3Leroy SanéBayern, 29, M(CLR),FW",7.68
"4Jamal MusialaBayern, 21, M(CLR)",7.65
"5Álex GrimaldoLeverkusen, 29, D(L),M(L)",7.58
"6Xavi SimonsRBL, 21, AM(CLR),FW",7.58
"7Florian WirtzLeverkusen, 21, AM(CLR),FW",7.5
"8Victor BonifaceLeverkusen, 24, FW",7.49
"9Nadiem AmiriMainz, 28, M(CLR)",7.47
"10Deniz UndavStuttgart, 28, AM(C),FW",7.45
"11Fabian BredlowStuttgart, 29, GK",7.38
"12Matej KovárLeverkusen, 24, GK",7.33
"13Exequiel PalaciosLeverkusen, 26, M(C)",7.32
"14Jan-Niklas BesteFC Heidenheim, 26, D(L),M(CLR)",7.32
"15Loïs OpendaRBL, 25, AM(C),FW",7.32
"16Maximilian MittelstädtStuttgart, 27, D(L),M(CL)",7.28
"17David RaumRBL, 26, D(L),M(LR)",7.2
"18Kevin StögerBochum, 31, M(CL)",7.19
"19Dani OlmoRBL, 26, AM(CLR),FW",7.17
"20Andrej KramaricHoffenheim, 33, AM(CLR),FW",7.17
"21Chris FührichStuttgart, 27, M(CLR),FW",7.15
"22Alphonso DaviesBayern, 24, D(L),M(LR)",7.13
"23Kingsley ComanBayern, 28, M(LR),FW",7.13
"24Granit XhakaLeverkusen, 32, D(L),M(C)",7.13
"25Joshua KimmichBayern, 30, D(CR),DMC,M(R)",7.13
"26Omar MarmoushEintracht Frankfurt, 26, AM(CL),FW",7.11
"27Jonas HofmannLeverkusen, 32, D(R),M(CLR),FW",7.11
"28Kjell-Arik WätjenBorussia Dortmund, 19, Midfielder",7.1
"29Donyell MalenBorussia Dortmund, 26, AM(CLR),FW",7.1
"30Jens GrahlEintracht Frankfurt, 36, GK",7.1
"31Milos PantovicUnion Berlin, 28, AM(CLR)",7.09
"32Leon GoretzkaBayern, 30, M(CR)",7.08
"33Alexander SchwolowUnion Berlin, 32, GK",7.08
"34Jeremie FrimpongLeverkusen, 24, D(R),M(R)",7.08
"35Tim KleindienstFC Heidenheim, 29, FW",7.06
"36Amadou HaidaraRBL, 27, M(CLR)",7.06
"37Anton StachHoffenheim, 26, D(C),M(C)",7.05
"38Anton StachMainz, 26, D(C),M(C)",7.05
