Player Name,Rating,League,Season
"1Asmir BegovicEverton, 37, GK",7.82,Premier League,2022-2023
"2Kevin De BruyneMan City, 33, M(CLR),FW",7.58,Premier League,2022-2023
"3Stefan OrtegaMan City, 32, GK",7.56,Premier League,2022-2023
"4Erling HaalandMan City, 24, FW",7.54,Premier League,2022-2023
"5Harry KaneTottenham, 31, AM(C),FW",7.51,Premier League,2022-2023
"6Bruno FernandesMan Utd, 30, M(CLR),FW",7.44,Premier League,2022-2023
"7Gabriel JesusArsenal, 27, AM(LR),FW",7.42,Premier League,2022-2023
"8Kieran TrippierNewcastle, 34, D(LR),M(R)",7.41,Premier League,2022-2023
"9Bukayo SakaArsenal, 23, D(L),M(CLR)",7.4,Premier League,2022-2023
"10Solly MarchBrighton, 30, M(CLR)",7.38,Premier League,2022-2023
"11Jack GrealishMan City, 29, M(CL),FW",7.33,Premier League,2022-2023
"12Martin ØdegaardArsenal, 26, AM(CR)",7.29,Premier League,2022-2023
"13RodriMan City, 28, D(C),DMC",7.26,Premier League,2022-2023
"14Gabriel MartinelliArsenal, 23, AM(LR),FW",7.25,Premier League,2022-2023
"15Ivan ToneyBrentford, 28, FW",7.25,Premier League,2022-2023
"16JoelintonNewcastle, 28, AM(CLR),FW",7.25,Premier League,2022-2023
"17James MaddisonLeicester, 28, AM(CLR)",7.24,Premier League,2022-2023
"18Rodrigo BentancurTottenham, 27, M(C)",7.22,Premier League,2022-2023
"19Bruno GuimarãesNewcastle, 27, DMC",7.21,Premier League,2022-2023
"20CasemiroMan Utd, 32, D(C),DMC",7.17,Premier League,2022-2023
"21Mohamed SalahLiverpool, 32, AM(CLR),FW",7.17,Premier League,2022-2023
"22Phil FodenMan City, 24, AM(CLR),FW",7.13,Premier League,2022-2023
"23Ilkay GündoganMan City, 34, M(C)",7.11,Premier League,2022-2023
"24Trent Alexander-ArnoldLiverpool, 26, D(R),DMC,M(R)",7.11,Premier League,2022-2023
"25Ethan PinnockBrentford, 31, D(C)",7.11,Premier League,2022-2023
"26Aleksandar MitrovicFulham, 30, FW",7.08,Premier League,2022-2023
"27Marcus RashfordMan Utd, 27, AM(CLR),FW",7.08,Premier League,2022-2023
"28Reece JamesChelsea, 25, D(CR),DMC,M(R)",7.07,Premier League,2022-2023
"29Thomas ParteyArsenal, 31, D(R),M(CR)",7.06,Premier League,2022-2023
"30FelipeNottingham Forest, 35, D(C)",7.06,Premier League,2022-2023
"31Cody GakpoLiverpool, 25, AM(CLR),FW",7.06,Premier League,2022-2023
"32Alexander IsakNewcastle, 25, AM(L),FW",7.06,Premier League,2022-2023
"33João CanceloMan City, 30, D(LR),M(LR)",7.05,Premier League,2022-2023
"34Alexis Mac AllisterBrighton, 26, M(CL),FW",7.05,Premier League,2022-2023
"35Fabian SchärNewcastle, 33, D(C)",7.05,Premier League,2022-2023
"36Declan RiceWest Ham, 26, D(C),DMC",7.02,Premier League,2022-2023
"37Pierre-Emile HøjbjergTottenham, 29, M(C)",7.02,Premier League,2022-2023
"38Eberechi EzeCrystal Palace, 26, AM(CLR)",7.02,Premier League,2022-2023
"39Riyad MahrezMan City, 33, AM(CLR),FW",7.01,Premier League,2022-2023
"40Bryan MbeumoBrentford, 25, AM(LR),FW",7.01,Premier League,2022-2023
"41Yerry MinaEverton, 30, D(C)",7.01,Premier League,2022-2023
"42Kaoru MitomaBrighton, 27, M(L)",7.0,Premier League,2022-2023
"43Pascal GroßBrighton, 33, D(LR),M(CR),FW",7.0,Premier League,2022-2023
"44Michael OliseCrystal Palace, 23, AM(CLR)",6.99,Premier League,2022-2023
"45Dwight McNeilEverton, 25, M(CLR)",6.99,Premier League,2022-2023
"46WillianFulham, 36, AM(CLR)",6.99,Premier League,2022-2023
"47Leandro TrossardBrighton, 30, M(CLR),FW",6.99,Premier League,2022-2023
"48Ben MeeBrentford, 35, D(CL)",6.98,Premier League,2022-2023
"49Kenny TeteFulham, 29, D(CR),M(R)",6.98,Premier League,2022-2023
"50Granit XhakaArsenal, 32, D(L),M(C)",6.98,Premier League,2022-2023
"51Lucas PaquetáWest Ham, 27, M(CLR),FW",6.98,Premier League,2022-2023
"52Martin DúbravkaNewcastle, 36, GK",6.98,Premier League,2022-2023
"53James TarkowskiEverton, 32, D(C)",6.97,Premier League,2022-2023
"54Luis DíazLiverpool, 28, AM(LR),FW",6.97,Premier League,2022-2023
"55Ollie WatkinsAston Villa, 29, AM(LR),FW",6.96,Premier League,2022-2023
"56Diogo DalotMan Utd, 25, D(LR),M(LR)",6.96,Premier League,2022-2023
"57Pedro PorroTottenham, 25, D(R),M(R)",6.96,Premier League,2022-2023
"58Marcus TavernierBournemouth, 25, M(CLR)",6.95,Premier League,2022-2023
"59Rúben NevesWolves, 27, DMC",6.95,Premier League,2022-2023
"60James Ward-ProwseSouthampton, 30, M(CR)",6.95,Premier League,2022-2023
"61David RayaBrentford, 29, GK",6.95,Premier League,2022-2023
"62Thiago SilvaChelsea, 40, D(C)",6.95,Premier League,2022-2023
"63Son Heung-MinTottenham, 32, M(CLR),FW",6.95,Premier League,2022-2023
"64N'Golo KantéChelsea, 33, M(C)",6.95,Premier League,2022-2023
"65Virgil van DijkLiverpool, 33, D(C)",6.94,Premier League,2022-2023
"66João PalhinhaFulham, 29, DMC",6.93,Premier League,2022-2023
"67Aaron Wan-BissakaMan Utd, 27, D(LR),M(R)",6.93,Premier League,2022-2023
"68Douglas LuizAston Villa, 26, M(C)",6.93,Premier League,2022-2023
"69Alisson BeckerLiverpool, 32, GK",6.92,Premier League,2022-2023
"70Bernd LenoFulham, 32, GK",6.92,Premier League,2022-2023
"71Callum WilsonNewcastle, 32, FW",6.92,Premier League,2022-2023
"72Moisés CaicedoBrighton, 23, D(R),DMC",6.92,Premier League,2022-2023
"73Miguel AlmirónNewcastle, 31, AM(CLR),FW",6.91,Premier League,2022-2023
"74Benoît BadiashileChelsea, 23, D(C)",6.91,Premier League,2022-2023
"75Wesley FofanaLeicester, 24, D(C)",6.9,Premier League,2022-2023
"76Christian NørgaardBrentford, 30, D(C),DMC",6.9,Premier League,2022-2023
"77Lewis HallChelsea, 20, D(L),M(L)",6.9,Premier League,2022-2023
"78Luke ShawMan Utd, 29, D(CL),M(L)",6.9,Premier League,2022-2023
"79Joe WillockNewcastle, 25, M(C)",6.88,Premier League,2022-2023
"80Emiliano MartínezAston Villa, 32, GK",6.87,Premier League,2022-2023
"81Oleksandr ZinchenkoArsenal, 28, D(L),M(CLR)",6.86,Premier League,2022-2023
"82Jacob RamseyAston Villa, 23, AM(CLR)",6.86,Premier League,2022-2023
"83Roberto FirminoLiverpool, 33, M(CLR),FW",6.85,Premier League,2022-2023
"84Sèrge AurierNottingham Forest, 32, D(CLR),M(R)",6.85,Premier League,2022-2023
"85Leandro TrossardArsenal, 30, M(CLR),FW",6.84,Premier League,2022-2023
"86Gabriel MagalhãesArsenal, 27, D(C)",6.84,Premier League,2022-2023
"87Lisandro MartínezMan Utd, 27, D(CL),DMC",6.84,Premier League,2022-2023
"88Morgan Gibbs-WhiteNottingham Forest, 25, AM(CLR),FW",6.83,Premier League,2022-2023
"89Kalidou KoulibalyChelsea, 33, D(C)",6.83,Premier League,2022-2023
"90Jadon SanchoMan Utd, 24, AM(CLR)",6.82,Premier League,2022-2023
"91Çaglar SöyüncüLeicester, 28, D(C)",6.82,Premier League,2022-2023
"92Philip BillingBournemouth, 28, M(C),FW",6.82,Premier League,2022-2023
"93AntonyMan Utd, 24, AM(R)",6.82,Premier League,2022-2023
"94Michael KeaneEverton, 32, D(CR)",6.82,Premier League,2022-2023
"95Alex IwobiEverton, 28, D(R),M(CLR)",6.82,Premier League,2022-2023
"96Thiago AlcântaraLiverpool, 33, M(C)",6.82,Premier League,2022-2023
"97Wilfried ZahaCrystal Palace, 32, AM(LR),FW",6.82,Premier League,2022-2023
"98Mathias JensenBrentford, 29, M(C)",6.82,Premier League,2022-2023
"99John McGinnAston Villa, 30, M(CLR)",6.81,Premier League,2022-2023
"100KepaChelsea, 30, GK",6.81,Premier League,2022-2023
"101Jarrod BowenWest Ham, 28, AM(CLR),FW",6.8,Premier League,2022-2023
"102Tomás SoucekWest Ham, 29, M(C)",6.8,Premier League,2022-2023
"103Bernardo SilvaMan City, 30, M(CLR),FW",6.8,Premier League,2022-2023
"104Allan Saint-MaximinNewcastle, 27, AM(CLR),FW",6.8,Premier League,2022-2023
"105Noni MaduekeChelsea, 22, AM(R),FW",6.8,Premier League,2022-2023
"106Jordan AyewCrystal Palace, 33, AM(CLR),FW",6.8,Premier League,2022-2023
"107Enzo FernándezChelsea, 24, M(C)",6.8,Premier League,2022-2023
"108John StonesMan City, 30, D(CR),DMC",6.8,Premier League,2022-2023
"109Cristian RomeroTottenham, 26, D(C)",6.8,Premier League,2022-2023
"110Youri TielemansLeicester, 27, M(C)",6.8,Premier League,2022-2023
"111Rúben DiasMan City, 27, D(C)",6.79,Premier League,2022-2023
"112Joachim AndersenCrystal Palace, 28, D(C)",6.79,Premier League,2022-2023
"113Hamed TraoréBournemouth, 25, AM(CLR)",6.79,Premier League,2022-2023
"114Darwin NúñezLiverpool, 25, AM(CL),FW",6.79,Premier League,2022-2023
"115Pervis EstupiñánBrighton, 27, D(L),M(L)",6.79,Premier League,2022-2023
"116Dominic SolankeBournemouth, 27, FW",6.79,Premier League,2022-2023
"117Ibrahima KonatéLiverpool, 25, D(C)",6.79,Premier League,2022-2023
"118Mohammed SalisuSouthampton, 25, D(CL)",6.78,Premier League,2022-2023
"119Ben WhiteArsenal, 27, D(CR),DMC",6.78,Premier League,2022-2023
"120Andy RobertsonLiverpool, 30, D(L),M(L)",6.78,Premier League,2022-2023
"121Julio EncisoBrighton, 21, AM(CL)",6.78,Premier League,2022-2023
"122Dejan KulusevskiTottenham, 24, AM(CR),FW",6.78,Premier League,2022-2023
"123William SalibaArsenal, 23, D(C)",6.77,Premier League,2022-2023
"124Emerson RoyalTottenham, 26, D(CLR),M(R)",6.77,Premier League,2022-2023
"125Dan BurnNewcastle, 32, D(CL),M(L)",6.77,Premier League,2022-2023
"126NetoBournemouth, 35, GK",6.76,Premier League,2022-2023
"127Vicente GuaitaCrystal Palace, 38, GK",6.76,Premier League,2022-2023
"128Danny WelbeckBrighton, 34, AM(CLR),FW",6.76,Premier League,2022-2023
"129Kai HavertzChelsea, 25, M(CR),FW",6.75,Premier League,2022-2023
"130Nathan AkéMan City, 30, D(CL),DMC",6.75,Premier League,2022-2023
"131Antonee RobinsonFulham, 27, D(L),M(L)",6.75,Premier League,2022-2023
"132Tyrone MingsAston Villa, 31, D(CL)",6.75,Premier League,2022-2023
"133Sven BotmanNewcastle, 25, D(C)",6.74,Premier League,2022-2023
"134Ivan PerisicTottenham, 36, M(CLR),FW",6.74,Premier League,2022-2023
"135Tosin AdarabioyoFulham, 27, D(CR)",6.74,Premier League,2022-2023
"136Dango OuattaraBournemouth, 23, D(L),M(LR),FW",6.74,Premier League,2022-2023
"137Raheem SterlingChelsea, 30, M(CLR),FW",6.74,Premier League,2022-2023
"138Diogo JotaLiverpool, 28, AM(CLR),FW",6.74,Premier League,2022-2023
"139Jason SteeleBrighton, 34, GK",6.73,Premier League,2022-2023
"140Sam JohnstoneCrystal Palace, 31, GK",6.73,Premier League,2022-2023
"141Tyler AdamsLeeds, 26, D(R),M(CR)",6.73,Premier League,2022-2023
"142James JustinLeicester, 26, D(CLR),M(LR)",6.73,Premier League,2022-2023
"143Andreas PereiraFulham, 29, M(CLR)",6.73,Premier League,2022-2023
"144Jack HarrisonLeeds, 28, AM(CLR),FW",6.72,Premier League,2022-2023
"145Cheick DoucouréCrystal Palace, 25, DMC",6.72,Premier League,2022-2023
"146Timothy CastagneLeicester, 29, D(CLR),M(LR)",6.71,Premier League,2022-2023
"147Armel Bella-KotchapSouthampton, 23, D(C)",6.71,Premier League,2022-2023
"148Kiernan Dewsbury-HallLeicester, 26, M(C)",6.71,Premier League,2022-2023
"149Álex MorenoAston Villa, 31, D(L),M(L)",6.71,Premier League,2022-2023
"150Shea CharlesMan City, 21, DMC",6.71,Premier League,2022-2023
"151FabinhoLiverpool, 31, D(CR),DMC",6.71,Premier League,2022-2023
"152DaniloNottingham Forest, 23, M(C)",6.71,Premier League,2022-2023
"153Matt DohertyTottenham, 33, D(CLR),M(LR)",6.71,Premier League,2022-2023
"154Amadou OnanaEverton, 23, DMC",6.71,Premier League,2022-2023
"155Victor LindelöfMan Utd, 30, D(CLR)",6.7,Premier League,2022-2023
"156Julián AlvarezMan City, 25, AM(CLR),FW",6.7,Premier League,2022-2023
"157Nick PopeNewcastle, 32, GK",6.7,Premier League,2022-2023
"158Saïd BenrahmaWest Ham, 29, AM(CLR)",6.7,Premier League,2022-2023
"159Emiliano BuendíaAston Villa, 28, M(CLR),FW",6.7,Premier League,2022-2023
"160Mason MountChelsea, 26, M(CLR)",6.7,Premier League,2022-2023
"161Christian EriksenMan Utd, 33, M(CLR),FW",6.7,Premier League,2022-2023
"162Aymeric LaporteMan City, 30, D(CL)",6.69,Premier League,2022-2023
"163Jordan PickfordEverton, 30, GK",6.69,Premier League,2022-2023
"164Joe GomezLiverpool, 27, D(CLR)",6.69,Premier League,2022-2023
"165Kurt ZoumaWest Ham, 30, D(CR)",6.68,Premier League,2022-2023
"166Marc GuéhiCrystal Palace, 24, D(C)",6.68,Premier League,2022-2023
"167RodrigoLeeds, 33, M(CLR),FW",6.68,Premier League,2022-2023
"168Reiss NelsonArsenal, 25, M(LR)",6.68,Premier League,2022-2023
"169Lukasz FabianskiWest Ham, 39, GK",6.68,Premier League,2022-2023
"170Nayef AguerdWest Ham, 28, D(C)",6.67,Premier League,2022-2023
"171Curtis JonesLiverpool, 24, M(CL)",6.67,Premier League,2022-2023
"172Evan FergusonBrighton, 20, FW",6.67,Premier League,2022-2023
"173David de GeaMan Utd, 34, GK",6.67,Premier League,2022-2023
"174Jan BednarekSouthampton, 28, D(C)",6.67,Premier League,2022-2023
"175Pascal StruijkLeeds, 25, D(CL),DMC",6.66,Premier League,2022-2023
"176Eric DierTottenham, 31, D(CR),DMC",6.66,Premier League,2022-2023
"177Tim ReamFulham, 37, D(CL),DMC",6.66,Premier League,2022-2023
"178Issa DiopFulham, 28, D(C)",6.66,Premier League,2022-2023
"179Jeffrey SchluppCrystal Palace, 32, D(L),M(CLR)",6.66,Premier League,2022-2023
"180Harvey BarnesLeicester, 27, AM(CL)",6.66,Premier League,2022-2023
"181Wout FaesLeicester, 26, D(CL)",6.66,Premier League,2022-2023
"182Idrissa GueyeEverton, 35, M(C)",6.65,Premier League,2022-2023
