Player Name,Pos,Squad,League,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Chl-Tkl,Att,Tkl%,Chl-Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,CrdY,CrdR,2CrdY,Fls,Off,Crs,PKcon,OG,Recov,Won,Lost,Won%,Season,Rating,Grouped Positions
Max Aarons,DF,Bournemouth,Premier League,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,1,0,0,12,2,13,1,0,75,5,11,31.3,2023-2024,6.25,Defenders
Brenden Aaronson,"MF,FW",Union Berlin,Bundesliga,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,3,1,1,15,5,22,0,0,88,13,16,44.8,2023-2024,6.4,Midfielders
Yunis Abdelhamid,DF,Reims,Ligue 1,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,5,0,0,26,0,3,0,1,149,61,37,62.2,2023-2024,6.77,Defenders
Salis Abdul Samed,MF,Lens,Ligue 1,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,2,0,0,34,0,3,3,0,89,2,7,22.2,2023-2024,6.22,Midfielders
Laurent Abergel,MF,Lorient,Ligue 1,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,4,0,0,36,1,34,0,0,226,15,14,51.7,2023-2024,6.91,Midfielders
Matthis Abline,FW,Nantes,Ligue 1,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,1,0,0,10,6,7,0,0,39,15,27,35.7,2023-2024,6.55,Forwards
Abner,DF,Betis,La Liga,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,3,0,0,16,2,26,1,0,79,14,10,58.3,2023-2024,6.41,Defenders
Zakaria Aboukhlal,"MF,FW",Toulouse,Ligue 1,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,2,0,0,17,8,5,0,0,21,6,7,46.2,2023-2024,6.42,Midfielders
Abdel Abqar,DF,Alavés,La Liga,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,10,0,0,33,1,2,2,1,109,39,36,52.0,2023-2024,6.52,Defenders
Francesco Acerbi,DF,Inter,Serie A,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,1,0,0,19,3,9,0,0,102,70,37,65.4,2023-2024,6.95,Defenders
