,Player Name,Rating,League,Season,Squad
0,Bukayo Saka,7.67,Premier League,2023-2024,Arsenal
1,Rodri,7.62,Premier League,2023-2024,Man City
2,Michael Olise,7.61,Premier League,2023-2024,Crystal Palace
3,Kevin De Bruyne,7.6,Premier League,2023-2024,Man City
4,Phil Foden,7.55,Premier League,2023-2024,Man City
5,Cole Palmer,7.48,Premier League,2023-2024,Chelsea
6,Eberechi Eze,7.45,Premier League,2023-2024,Crystal Palace
7,Solly March,7.43,Premier League,2023-2024,Brighton
8,Erling Haaland,7.4,Premier League,2023-2024,Man City
9,Bruno Fernandes,7.39,Premier League,2023-2024,Man Utd
10,Declan Rice,7.38,Premier League,2023-2024,Arsenal
11,Bruno Guimarães,7.37,Premier League,2023-2024,Newcastle
12,Martin degaard,7.37,Premier League,2023-2024,Arsenal
13,Arijanet Muric,7.34,Premier League,2023-2024,Burnley
14,Son Heung-Min,7.3,Premier League,2023-2024,Tottenham
15,Anthony Gordon,7.29,Premier League,2023-2024,Newcastle
16,Ollie Watkins,7.27,Premier League,2023-2024,Aston Villa
17,Jérémy Doku,7.24,Premier League,2023-2024,Man City
18,Mohamed Salah,7.24,Premier League,2023-2024,Liverpool
19,Mohammed Kudus,7.23,Premier League,2023-2024,West Ham
20,Daniel Muñoz,7.17,Premier League,2023-2024,Crystal Palace
21,James Maddison,7.17,Premier League,2023-2024,Tottenham
22,Kai Havertz,7.16,Premier League,2023-2024,Arsenal
23,Bernardo Silva,7.15,Premier League,2023-2024,Man City
24,Virgil van Dijk,7.15,Premier League,2023-2024,Liverpool
25,Alexander Isak,7.14,Premier League,2023-2024,Newcastle
26,Conor Bradley,7.13,Premier League,2023-2024,Liverpool
27,Pascal,7.13,Premier League,2023-2024,
28,Conor Gallagher,7.13,Premier League,2023-2024,Chelsea
29,Matheus Cunha,7.13,Premier League,2023-2024,Wolves
30,Andy Robertson,7.12,Premier League,2023-2024,Liverpool
31,Trent Alexander-Arnold,7.12,Premier League,2023-2024,Liverpool
32,Julián Alvarez,7.1,Premier League,2023-2024,Man City
33,Jarrod Bowen,7.1,Premier League,2023-2024,West Ham
34,Diogo Jota,7.09,Premier League,2023-2024,Liverpool
35,Alexis Mac Allister,7.09,Premier League,2023-2024,Liverpool
36,Luis Díaz,7.09,Premier League,2023-2024,Liverpool
37,James Tarkowski,7.08,Premier League,2023-2024,Everton
38,Nicolas Jackson,7.07,Premier League,2023-2024,Chelsea
39,Kieran Trippier,7.07,Premier League,2023-2024,Newcastle
40,Thomas Strakosha,7.05,Premier League,2023-2024,Brentford
41,Manor Solomon,7.05,Premier League,2023-2024,Tottenham
42,Ross Barkley,7.05,Premier League,2023-2024,Luton
43,Lucas Paquetá,7.04,Premier League,2023-2024,West Ham
44,Pedro Porro,7.04,Premier League,2023-2024,Tottenham
45,João Palhinha,7.04,Premier League,2023-2024,Fulham
46,Dominic Solanke,7.03,Premier League,2023-2024,Bournemouth
47,Josko Gvardiol,7.03,Premier League,2023-2024,Man City
48,Cristian Romero,7.03,Premier League,2023-2024,Tottenham
49,Bryan Mbeumo,7.02,Premier League,2023-2024,Brentford
